*** Teste de carga com 300 clientes (07/09/2010 23:45:52) ***
*** Nome do servidor testado: MONOSERVER  ***
*** Tipo do servidor testado: MONOTHREAD  ***
*** Serviço testado: SLOW  ***
Cliente 1: Turnaround Time = 1003 milisegundos.
Cliente 2: Turnaround Time = 1000 milisegundos.
Cliente 3: Turnaround Time = 1001 milisegundos.
Cliente 4: Turnaround Time = 1001 milisegundos.
Cliente 5: Turnaround Time = 1000 milisegundos.
Cliente 6: Turnaround Time = 1001 milisegundos.
Cliente 7: Turnaround Time = 1001 milisegundos.
Cliente 8: Turnaround Time = 1001 milisegundos.
Cliente 9: Turnaround Time = 1001 milisegundos.
Cliente 10: Turnaround Time = 1000 milisegundos.
Cliente 11: Turnaround Time = 1001 milisegundos.
Cliente 12: Turnaround Time = 1001 milisegundos.
Cliente 13: Turnaround Time = 1001 milisegundos.
Cliente 14: Turnaround Time = 1005 milisegundos.
Cliente 15: Turnaround Time = 1001 milisegundos.
Cliente 16: Turnaround Time = 1001 milisegundos.
Cliente 17: Turnaround Time = 1001 milisegundos.
Cliente 18: Turnaround Time = 1000 milisegundos.
Cliente 19: Turnaround Time = 1000 milisegundos.
Cliente 20: Turnaround Time = 1001 milisegundos.
Cliente 21: Turnaround Time = 1001 milisegundos.
Cliente 22: Turnaround Time = 1001 milisegundos.
Cliente 23: Turnaround Time = 1001 milisegundos.
Cliente 24: Turnaround Time = 1001 milisegundos.
Cliente 25: Turnaround Time = 1000 milisegundos.
Cliente 26: Turnaround Time = 1000 milisegundos.
Cliente 27: Turnaround Time = 1001 milisegundos.
Cliente 28: Turnaround Time = 1001 milisegundos.
Cliente 29: Turnaround Time = 1001 milisegundos.
Cliente 30: Turnaround Time = 1001 milisegundos.
Cliente 31: Turnaround Time = 1001 milisegundos.
Cliente 32: Turnaround Time = 1001 milisegundos.
Cliente 33: Turnaround Time = 1001 milisegundos.
Cliente 34: Turnaround Time = 1001 milisegundos.
Cliente 35: Turnaround Time = 1001 milisegundos.
Cliente 36: Turnaround Time = 1001 milisegundos.
Cliente 37: Turnaround Time = 1000 milisegundos.
Cliente 38: Turnaround Time = 1001 milisegundos.
Cliente 39: Turnaround Time = 1001 milisegundos.
Cliente 40: Turnaround Time = 1000 milisegundos.
Cliente 41: Turnaround Time = 1000 milisegundos.
Cliente 42: Turnaround Time = 1000 milisegundos.
Cliente 43: Turnaround Time = 1002 milisegundos.
Cliente 44: Turnaround Time = 1001 milisegundos.
Cliente 45: Turnaround Time = 1000 milisegundos.
Cliente 46: Turnaround Time = 1001 milisegundos.
Cliente 47: Turnaround Time = 1001 milisegundos.
Cliente 48: Turnaround Time = 1000 milisegundos.
Cliente 49: Turnaround Time = 1001 milisegundos.
Cliente 50: Turnaround Time = 1001 milisegundos.
Cliente 51: Turnaround Time = 1001 milisegundos.
Cliente 52: Turnaround Time = 1000 milisegundos.
Cliente 53: Turnaround Time = 1000 milisegundos.
Cliente 54: Turnaround Time = 1000 milisegundos.
Cliente 55: Turnaround Time = 1023 milisegundos.
Cliente 56: Turnaround Time = 1000 milisegundos.
Cliente 57: Turnaround Time = 1001 milisegundos.
Cliente 58: Turnaround Time = 1001 milisegundos.
Cliente 59: Turnaround Time = 1001 milisegundos.
Cliente 60: Turnaround Time = 1001 milisegundos.
Cliente 61: Turnaround Time = 1001 milisegundos.
Cliente 62: Turnaround Time = 1000 milisegundos.
Cliente 63: Turnaround Time = 1000 milisegundos.
Cliente 64: Turnaround Time = 1001 milisegundos.
Cliente 65: Turnaround Time = 1001 milisegundos.
Cliente 66: Turnaround Time = 1001 milisegundos.
Cliente 67: Turnaround Time = 1001 milisegundos.
Cliente 68: Turnaround Time = 1001 milisegundos.
Cliente 69: Turnaround Time = 1001 milisegundos.
Cliente 70: Turnaround Time = 1000 milisegundos.
